Year,Month,Day,Hour,Minute,GHI,Relative Humidity,Dew Point,Precipitation,Wind Speed,Pressure,Temperature
2020,1,1,0,30,0,91.28,7.6000000000000005,2.3000000000000003,1.8,995,8.9
2020,1,1,1,30,0,91.44,7.9,2.1,1.7000000000000002,995,9.200000000000001
2020,1,1,2,30,0,92.12,8.3,2,1.6,994,9.5
2020,1,1,3,30,0,93.01,8.700000000000001,2,1.5,994,9.8
2020,1,1,4,30,0,94.29,9,1.9000000000000001,1.4000000000000001,994,9.9
2020,1,1,5,30,0,94.63,9.1,1.9000000000000001,1.3,994,9.9
2020,1,1,6,30,0,94.94,9,1.9000000000000001,1.3,994,9.8
2020,1,1,7,30,0,94.99,9,1.9000000000000001,1.3,994,9.8
2020,1,1,8,30,0,95.22,9.1,1.8,1.3,994,9.8
2020,1,1,9,30,0,95.23,8.8,1.7000000000000002,1.2000000000000002,994,9.5
2020,1,1,10,30,0,94.85000000000001,8.4,1.6,1.1,994,9.200000000000001
2020,1,1,11,30,0,95.02,8.1,1.5,1,995,8.9
2020,1,1,12,30,0,95.72,7.9,1.4000000000000001,1,995,8.5
2020,1,1,13,30,0,95.75,7.5,1.4000000000000001,1,996,8.1
2020,1,1,14,30,0,96.22,7,1.4000000000000001,1,996,7.6000000000000005
2020,1,1,15,30,0,95.13,6.7,1.4000000000000001,1,997,7.4
2020,1,1,16,30,28,92.32000000000001,6.7,1.4000000000000001,1,998,7.9
2020,1,1,17,30,109,92.03,7.4,1.4000000000000001,1.1,999,8.6
2020,1,1,18,30,189,91.34,7.800000000000001,1.4000000000000001,0.9,999,9.1
2020,1,1,19,30,153,91,8.1,1.3,0.9,999,9.5
2020,1,1,20,30,273,90.57000000000001,8.200000000000001,1.3,0.9,999,9.700000000000001
2020,1,1,21,30,123,90.53,8.1,1.3,0.9,1000,9.600000000000001
2020,1,1,22,30,101,91.84,7.7,1.3,0.9,1000,9
2020,1,1,23,30,75,90.52,7.1000000000000005,1.2000000000000002,0.9,1001,8.6
2020,1,2,0,30,1,94.09,6.2,1.2000000000000002,1,1002,7.1000000000000005
2020,1,2,1,30,0,93.85000000000001,6,1.2000000000000002,1,1003,6.9
2020,1,2,2,30,0,93.64,5.800000000000001,1.2000000000000002,1,1003,6.800000000000001
2020,1,2,3,30,0,94.84,5.6000000000000005,1.2000000000000002,0.9,1004,6.4
2020,1,2,4,30,0,94.72,5.300000000000001,1.2000000000000002,0.9,1005,6.1000000000000005
2020,1,2,5,30,0,94.57000000000001,5,1.2000000000000002,0.9,1006,5.800000000000001
2020,1,2,6,30,0,94.15,4.5,1.1,0.9,1007,5.4
2020,1,2,7,30,0,93.95,4,1.1,0.8,1007,4.9
2020,1,2,8,30,0,93.84,3.4000000000000004,1.1,0.8,1008,4.3
2020,1,2,9,30,0,89.85000000000001,2.6,1.1,0.8,1008,4.1000000000000005
2020,1,2,10,30,0,88.31,2.4000000000000004,1.2000000000000002,0.8,1008,4.2
2020,1,2,11,30,0,88.3,2.5,1.2000000000000002,0.8,1008,4.3
2020,1,2,12,30,0,89.11,2.6,1.3,0.8,1008,4.2
2020,1,2,13,30,0,91.38,2.6,1.4000000000000001,0.8,1008,3.9000000000000004
2020,1,2,14,30,0,94.34,2.9000000000000004,1.4000000000000001,0.7000000000000001,1008,3.7
2020,1,2,15,30,0,93.81,2.9000000000000004,1.5,0.7000000000000001,1009,3.8000000000000003
2020,1,2,16,30,16,93.74,3.3000000000000003,1.5,0.7000000000000001,1009,4.2
