Year,Month,Day,Hour,Minute,Temperature,Aerosol Optical Depth,Wind Speed,Wind Direction,Precipitable Water,Pressure,Surface Albedo,SSA,Solar Zenith Angle,Relative Humidity,Cloud Type,Dew Point,GHI,Asymmetry,Alpha,DHI,DNI,Ozone,Clearsky GHI,Clearsky DNI,Clearsky DHI
2023,1,1,0,30,6.1000000000000005,0.028,0.6000000000000001,227,1.2000000000000002,1003,0.1,0.9,91.18,91.62,4,4.800000000000001,0,0.66,0.9400000000000001,0,0,0.34600000000000003,0,0,0
2023,1,1,1,30,5.9,0.027,0.7000000000000001,234,1.2000000000000002,1003,0.1,0.9,100.04,92.04,4,4.7,0,0.66,0.96,0,0,0.34700000000000003,0,0,0
2023,1,1,2,30,5.7,0.025,0.7000000000000001,245,1.3,1004,0.1,0.89,109.63,92.07000000000001,4,4.5,0,0.66,0.98,0,0,0.34700000000000003,0,0,0
2023,1,1,3,30,5.4,0.026000000000000002,0.8,257,1.3,1005,0.1,0.89,119.63,92.3,4,4.3,0,0.66,1,0,0,0.34500000000000003,0,0,0
2023,1,1,4,30,5.1000000000000005,0.027,0.7000000000000001,272,1.3,1005,0.1,0.89,129.7,92.36,1,4,0,0.66,1.01,0,0,0.34500000000000003,0,0,0
2023,1,1,5,30,5,0.027,0.7000000000000001,283,1.3,1006,0.1,0.89,139.41,91.49,2,3.7,0,0.66,1.02,0,0,0.34600000000000003,0,0,0
2023,1,1,6,30,4.9,0.029,0.7000000000000001,290,1.3,1006,0.1,0.89,147.99,91.15,4,3.6,0,0.66,1.04,0,0,0.34700000000000003,0,0,0
2023,1,1,7,30,4.800000000000001,0.031,0.6000000000000001,298,1.3,1007,0.1,0.89,153.96,91.46000000000001,4,3.5,0,0.66,1.07,0,0,0.34800000000000003,0,0,0
2023,1,1,8,30,4.800000000000001,0.032,0.6000000000000001,309,1.2000000000000002,1008,0.1,0.88,155.15,91.35000000000001,1,3.5,0,0.66,1.09,0,0,0.34800000000000003,0,0,0
2023,1,1,9,30,4.800000000000001,0.033,0.6000000000000001,317,1.2000000000000002,1008,0.1,0.88,150.96,91.35000000000001,4,3.5,0,0.66,1.12,0,0,0.34600000000000003,0,0,0
2023,1,1,10,30,4.9,0.033,0.5,318,1.2000000000000002,1009,0.1,0.88,143.25,90.76,4,3.5,0,0.66,1.1500000000000001,0,0,0.343,0,0,0
2023,1,1,11,30,4.9,0.032,0.5,325,1.1,1009,0.1,0.88,133.89000000000001,90.89,4,3.5,0,0.66,1.17,0,0,0.34,0,0,0
2023,1,1,12,30,4.9,0.033,0.4,340,1.1,1009,0.1,0.88,123.9,91.09,2,3.6,0,0.66,1.18,0,0,0.339,0,0,0
2023,1,1,13,30,4.9,0.035,0.30000000000000004,200,1.1,1010,0.1,0.89,113.83,91.3,2,3.6,0,0.66,1.19,0,0,0.339,0,0,0
2023,1,1,14,30,4.9,0.034,0.30000000000000004,75,1,1010,0.1,0.9,104.02,91.56,4,3.6,0,0.66,1.19,0,0,0.338,0,0,0
2023,1,1,15,30,4.800000000000001,0.036000000000000004,0.4,116,1,1010,0.1,0.91,94.8,91.99,4,3.6,0,0.66,1.2,0,0,0.334,0,0,0
2023,1,1,16,30,5.300000000000001,0.039,0.2,218,1,1010,0.1,0.91,86.3,89.81,4,3.8000000000000003,10,0.66,1.21,10,0,0.327,44,345,22
2023,1,1,17,30,6.300000000000001,0.039,0.2,164,1,1011,0.1,0.92,79.44,90.71000000000001,4,4.9,30,0.66,1.21,30,0,0.319,156,620,42
