Year,Month,Day,Hour,Minute,Temperature,Aerosol Optical Depth,Wind Speed,Wind Direction,Precipitable Water,Pressure,Surface Albedo,SSA,Solar Zenith Angle,Relative Humidity,Cloud Type,Dew Point,GHI,Asymmetry,Alpha,DHI,DNI,Ozone,Clearsky GHI,Clearsky DNI,Clearsky DHI
2018,1,1,0,30,0.5,0.029,0.7000000000000001,27,0.8,1013,0.1,0.93,91.15,95.79,7,-0.1,0,0.66,1.03,0,0,0.36,0,0,0
2018,1,1,1,30,0,0.03,0.6000000000000001,23,0.8,1013,0.1,0.93,100.01,94.71000000000001,7,-0.7000000000000001,0,0.66,1.05,0,0,0.359,0,0,0
2018,1,1,2,30,-0.30000000000000004,0.03,0.6000000000000001,22,0.8,1013,0.1,0.93,109.59,94.89,7,-1,0,0.66,1.06,0,0,0.357,0,0,0
2018,1,1,3,30,-0.5,0.03,0.5,21,0.8,1014,0.1,0.93,119.59,95.2,7,-1.2000000000000002,0,0.66,1.07,0,0,0.355,0,0,0
2018,1,1,4,30,-0.6000000000000001,0.031,0.5,16,0.8,1014,0.1,0.93,129.66,95.25,7,-1.3,0,0.66,1.07,0,0,0.353,0,0,0
2018,1,1,5,30,-0.7000000000000001,0.032,0.4,16,0.8,1014,0.1,0.93,139.37,95.36,8,-1.4000000000000001,0,0.66,1.08,0,0,0.352,0,0,0
2018,1,1,6,30,-0.8,0.032,0.4,20,0.9,1015,0.1,0.93,147.96,94.42,8,-1.6,0,0.66,1.09,0,0,0.35000000000000003,0,0,0
2018,1,1,7,30,-0.9,0.032,0.30000000000000004,24,0.9,1015,0.1,0.93,153.93,92.48,4,-2,0,0.66,1.09,0,0,0.34700000000000003,0,0,0
2018,1,1,8,30,-0.8,0.032,0.30000000000000004,26,1,1016,0.1,0.93,155.13,90.71000000000001,4,-2.1,0,0.66,1.09,0,0,0.34400000000000003,0,0,0
2018,1,1,9,30,-0.7000000000000001,0.032,0.30000000000000004,28,1,1016,0.1,0.93,150.95000000000002,90.08,4,-2.1,0,0.66,1.09,0,0,0.342,0,0,0
2018,1,1,10,30,-0.8,0.031,0.30000000000000004,36,1,1017,0.1,0.92,143.25,89.91,4,-2.2,0,0.66,1.1,0,0,0.34,0,0,0
2018,1,1,11,30,-0.9,0.031,0.4,47,1,1017,0.1,0.92,133.9,88.66,4,-2.5,0,0.66,1.11,0,0,0.339,0,0,0
2018,1,1,12,30,-1,0.031,0.4,51,1.1,1017,0.1,0.92,123.91,88.28,1,-2.7,0,0.66,1.11,0,0,0.339,0,0,0
2018,1,1,13,30,-1.1,0.031,0.5,49,1.1,1017,0.1,0.91,113.83,88.05,4,-2.8000000000000003,0,0.66,1.12,0,0,0.339,0,0,0
2018,1,1,14,30,-1.2000000000000002,0.029,0.6000000000000001,43,1.1,1017,0.1,0.91,104.03,88.32000000000001,4,-2.9000000000000004,0,0.66,1.1300000000000001,0,0,0.34,0,0,0
2018,1,1,15,30,-0.8,0.028,0.5,35,1.1,1018,0.1,0.91,94.8,86.64,4,-2.7,0,0.66,1.1300000000000001,0,0,0.34,0,0,0
2018,1,1,16,30,0.5,0.028,0.5,28,1.1,1018,0.1,0.91,86.29,82.96000000000001,1,-2.1,45,0.66,1.1400000000000001,21,369,0.34,45,369,21
2018,1,1,17,30,2.2,0.027,0.4,20,1.2000000000000002,1018,0.1,0.91,79.43,79.66,0,-1,156,0.66,1.1500000000000001,39,635,0.339,156,635,39
2018,1,1,18,30,3.7,0.026000000000000002,0.4,10,1.2000000000000002,1019,0.1,0.91,74.23,78.06,7,0.2,189,0.66,1.1500000000000001,119,256,0.338,252,750,48
2018,1,1,19,30,4.800000000000001,0.027,0.5,5,1.2000000000000002,1019,0.1,0.91,71.19,77.96000000000001,7,1.3,210,0.66,1.1400000000000001,155,171,0.337,309,796,53
2018,1,1,20,30,5.300000000000001,0.028,0.6000000000000001,6,1.3,1019,0.1,0.91,70.62,78.47,4,1.9000000000000001,233,0.66,1.1400000000000001,182,155,0.337,319,798,54
2018,1,1,21,30,5.1000000000000005,0.028,0.6000000000000001,9,1.3,1019,0.1,0.91,72.60000000000001,81.10000000000001,7,2.1,242,0.66,1.1400000000000001,109,445,0.337,281,769,51
2018,1,1,22,30,4.2,0.027,0.6000000000000001,8,1.3,1019,0.1,0.91,76.9,88.85000000000001,4,2.5,146,0.66,1.1500000000000001,123,100,0.339,201,692,44
