Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Pressure,Wind Speed,Dew Point,Cloud Type,Surface Albedo
2020,1,3,0,30,5.2,1,1,0,92.68,90.95,1.8,1004,1.3,4.1000000000000005,8,0.1
2020,1,3,1,30,5.7,0,0,0,90.94,99.8,1.9000000000000001,1003,1.5,4.3,8,0.1
2020,1,3,2,30,6.300000000000001,0,0,0,90.63,109.39,1.9000000000000001,1003,1.7000000000000002,4.9,7,0.1
2020,1,3,3,30,6.9,0,0,0,91.24,119.39,2,1003,1.7000000000000002,5.6000000000000005,4,0.1
2020,1,3,4,30,7.6000000000000005,0,0,0,91.41,129.46,2.1,1003,1.7000000000000002,6.300000000000001,4,0.1
2020,1,3,5,30,8.1,0,0,0,92.21000000000001,139.17000000000002,2.2,1003,1.7000000000000002,6.9,7,0.1
2020,1,3,6,30,8.5,0,0,0,93.2,147.76,2.2,1002,1.7000000000000002,7.5,7,0.1
2020,1,3,7,30,8.8,0,0,0,93.54,153.75,2.3000000000000003,1002,1.7000000000000002,7.800000000000001,8,0.1
2020,1,3,8,30,8.9,0,0,0,94.17,155.02,2.3000000000000003,1002,1.7000000000000002,8,8,0.1
2020,1,3,9,30,9,0,0,0,93.85000000000001,150.91,2.3000000000000003,1002,1.7000000000000002,8.1,6,0.1
2020,1,3,10,30,9.1,0,0,0,93.11,143.25,2.2,1002,1.6,8,6,0.1
2020,1,3,11,30,9.200000000000001,0,0,0,92.39,133.92000000000002,2.2,1002,1.6,8,6,0.1
2020,1,3,12,30,9.3,0,0,0,91.76,123.94,2.3000000000000003,1002,1.6,8,7,0.1
2020,1,3,13,30,9.4,0,0,0,91.42,113.86,2.3000000000000003,1001,1.6,8.1,8,0.1
2020,1,3,14,30,9.4,0,0,0,91.82000000000001,104.04,2.1,1001,1.5,8.1,7,0.1
2020,1,3,15,30,9.5,0,0,0,90.46000000000001,94.8,1.8,1001,1.5,8,7,0.1
2020,1,3,16,30,9.700000000000001,21,22,9,88.48,86.28,1.7000000000000002,1002,1.4000000000000001,7.9,6,0.1
2020,1,3,17,30,10.200000000000001,57,129,390,86.5,79.38,1.7000000000000002,1002,1.4000000000000001,8,0,0.1
