Training Error
MSE: 5613.1708984375
RMSE: 74.92109781922245
NRMSE: 0.25613211428456323
MAE: 39.44934844970703
MBE: 5.558135
sMAPE: 0.28614882
R^2: 0.920942485332489

Validation Error
MSE: 8408.8173828125
RMSE: 91.6996040493769
NRMSE: 0.3005239670047096
MAE: 53.27146530151367
MBE: 1.1930959
sMAPE: 0.3733614
R^2: 0.8868952393531799

Testing Error
MSE: 9789.4560546875
RMSE: 98.94168006804564
NRMSE: 0.33131465516711706
MAE: 60.40154266357422
MBE: 0.61337894
sMAPE: 0.4323837
R^2: 0.8622976541519165
