Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Relative Humidity,Dew Point,Temperature,Precipitation,Pressure,Wind Speed,Solar Zenith Angle
2017,1,1,0,30,0,0,0,86.35000000000001,-0.9,1.1,1,1004,0.6000000000000001,89.13
2017,1,1,1,30,0,0,0,86.93,-0.8,1.1,1,1004,0.8,98.78
2017,1,1,2,30,0,0,0,87.58,-0.5,1.3,1,1003,0.8,108.75
2017,1,1,3,30,0,0,0,89.15,-0.1,1.5,0.9,1003,0.6000000000000001,119.15
2017,1,1,4,30,0,0,0,91.76,0.2,1.4000000000000001,0.9,1002,0.4,129.69
2017,1,1,5,30,0,0,0,91.43,0.1,1.3,0.9,1002,0.4,139.95000000000002
2017,1,1,6,30,0,0,0,90.9,0.1,1.4000000000000001,0.9,1001,0.5,149.22
2017,1,1,7,30,0,0,0,90.5,0.30000000000000004,1.7000000000000002,0.9,1000,0.6000000000000001,155.95000000000002
2017,1,1,8,30,0,0,0,91.41,0.6000000000000001,1.8,1,999,0.6000000000000001,157.5
2017,1,1,9,30,0,0,0,91.35000000000001,0.6000000000000001,1.9000000000000001,1,999,0.6000000000000001,152.94
2017,1,1,10,30,0,0,0,91.61,0.7000000000000001,1.9000000000000001,0.9,998,0.6000000000000001,144.63
2017,1,1,11,30,0,0,0,91.97,0.6000000000000001,1.8,0.9,997,0.5,134.72
2017,1,1,12,30,0,0,0,91.45,0.5,1.7000000000000002,0.9,996,0.5,124.25
2017,1,1,13,30,0,0,0,90.74,0.30000000000000004,1.7000000000000002,0.9,995,0.6000000000000001,113.74000000000001
2017,1,1,14,30,0,0,0,91.51,0.5,1.7000000000000002,0.9,995,0.7000000000000001,103.51
2017,1,1,15,30,0,0,0,91.39,0.4,1.7000000000000002,0.9,994,0.7000000000000001,93.88
2017,1,1,16,30,18,18,0,90.36,0.5,1.9000000000000001,0.9,994,0.8,85.01
2017,1,1,17,30,72,72,0,90.7,0.6000000000000001,2,0.9,994,0.8,77.74
2017,1,1,18,30,125,158,107,90.23,0.8,2.2,0.9,994,0.8,72.19
2017,1,1,19,30,150,217,186,90.29,0.9,2.3000000000000003,0.9,994,0.7000000000000001,68.9
2017,1,1,20,30,6,6,0,90.46000000000001,0.9,2.3000000000000003,0.9,994,0.7000000000000001,68.22
2017,1,1,21,30,12,12,0,90,0.8,2.3000000000000003,0.9,994,0.5,70.25
2017,1,1,22,30,37,37,0,91.38,0.7000000000000001,2,0.8,994,0.30000000000000004,74.73
2017,1,1,23,30,7,7,0,91.02,0.5,1.8,0.8,994,0.2,81.23
2017,1,2,0,30,0,0,0,92.41,-0.4,0.7000000000000001,0.8,994,0.30000000000000004,89.01
2017,1,2,1,30,0,0,0,90.69,-0.9,0.4,0.8,994,0.30000000000000004,98.64
2017,1,2,2,30,0,0,0,90.95,-1.1,0.2,0.8,994,0.30000000000000004,108.61
2017,1,2,3,30,0,0,0,90.66,-1.3,0,0.8,994,0.30000000000000004,119.01
2017,1,2,4,30,0,0,0,91.27,-1.6,-0.4,0.8,994,0.30000000000000004,129.55
2017,1,2,5,30,0,0,0,91.32000000000001,-2.1,-0.9,0.8,995,0.4,139.81
2017,1,2,6,30,0,0,0,90.83,-2.7,-1.4000000000000001,0.7000000000000001,995,0.5,149.08
2017,1,2,7,30,0,0,0,90.16,-3.2,-1.8,0.7000000000000001,995,0.5,155.83
2017,1,2,8,30,0,0,0,88.68,-3.7,-2.1,0.7000000000000001,995,0.5,157.42000000000002
2017,1,2,9,30,0,0,0,86.7,-4.1000000000000005,-2.2,0.7000000000000001,995,0.5,152.92000000000002
2017,1,2,10,30,0,0,0,85.86,-4.3,-2.3000000000000003,0.7000000000000001,996,0.5,144.64000000000001
2017,1,2,11,30,0,0,0,85.22,-4.800000000000001,-2.7,0.6000000000000001,996,0.5,134.74
2017,1,2,12,30,0,0,0,83.60000000000001,-5.5,-3.1,0.6000000000000001,996,0.6000000000000001,124.28
2017,1,2,13,30,0,0,0,81.10000000000001,-6,-3.2,0.6000000000000001,997,0.6000000000000001,113.76
2017,1,2,14,30,0,0,0,80.91,-6,-3.2,0.6000000000000001,997,0.6000000000000001,103.53
2017,1,2,15,30,0,0,0,79.04,-6.1000000000000005,-3,0.6000000000000001,998,0.7000000000000001,93.89
2017,1,2,16,30,24,24,0,76.17,-5.800000000000001,-2.2,0.6000000000000001,998,0.8,85
2017,1,2,17,30,45,45,0,75.61,-5.1000000000000005,-1.3,0.6000000000000001,999,1,77.71000000000001
2017,1,2,18,30,74,74,0,74.76,-4.5,-0.6000000000000001,0.7000000000000001,999,1.1,72.14
2017,1,2,19,30,145,234,247,74.06,-4.3,-0.2,0.7000000000000001,1000,1.2000000000000002,68.82000000000001
2017,1,2,20,30,87,87,0,73.81,-4.3,-0.2,0.7000000000000001,1000,1.2000000000000002,68.13
2017,1,2,21,30,92,92,0,73.86,-4.5,-0.4,0.7000000000000001,1001,1.2000000000000002,70.13
2017,1,2,22,30,106,129,88,75.10000000000001,-4.800000000000001,-0.9,0.7000000000000001,1001,1.1,74.60000000000001
2017,1,2,23,30,28,28,0,74.14,-5.2,-1.2000000000000002,0.7000000000000001,1002,1.1,81.09
2017,1,3,0,30,3,3,0,76.41,-6,-2.4000000000000004,0.7000000000000001,1002,1,88.88
2017,1,3,1,30,0,0,0,75.07000000000001,-6.5,-2.7,0.7000000000000001,1003,1.1,98.5
2017,1,3,2,30,0,0,0,74.79,-6.7,-2.9000000000000004,0.7000000000000001,1003,1.1,108.46000000000001
2017,1,3,3,30,0,0,0,74.03,-6.9,-2.9000000000000004,0.7000000000000001,1004,1.1,118.87
2017,1,3,4,30,0,0,0,74.19,-7,-3.1,0.7000000000000001,1005,1.1,129.41
2017,1,3,5,30,0,0,0,73.42,-7.300000000000001,-3.2,0.7000000000000001,1006,1.1,139.67000000000002
2017,1,3,6,30,0,0,0,72.51,-7.5,-3.3000000000000003,0.7000000000000001,1007,1.1,148.94
2017,1,3,7,30,0,0,0,72.17,-7.800000000000001,-3.5,0.6000000000000001,1007,1.1,155.70000000000002
2017,1,3,8,30,0,0,0,71.4,-8,-3.6,0.6000000000000001,1008,1.1,157.34
2017,1,3,9,30,0,0,0,70.55,-8.3,-3.7,0.6000000000000001,1008,1.1,152.89000000000001
2017,1,3,10,30,0,0,0,70.09,-8.6,-3.9000000000000004,0.6000000000000001,1009,1.1,144.64000000000001
2017,1,3,11,30,0,0,0,69.43,-8.9,-4.1000000000000005,0.6000000000000001,1009,1.1,134.76
2017,1,3,12,30,0,0,0,68.46000000000001,-9.1,-4.2,0.6000000000000001,1009,1,124.29
2017,1,3,13,30,0,0,0,68.27,-9.4,-4.4,0.6000000000000001,1010,1,113.77
2017,1,3,14,30,0,0,0,68.66,-9.600000000000001,-4.7,0.6000000000000001,1010,1,103.54
2017,1,3,15,30,0,0,0,67.45,-9.8,-4.7,0.6000000000000001,1011,1.1,93.88
2017,1,3,16,30,25,66,467,65.08,-9.8,-4.2,0.6000000000000001,1011,1.2000000000000002,84.98
2017,1,3,17,30,42,194,713,63.1,-9.200000000000001,-3.2,0.6000000000000001,1011,1.3,77.67
2017,1,3,18,30,50,305,829,61.58,-8.4,-2,0.5,1011,1.3,72.08
2017,1,3,19,30,53,371,876,62.01,-7.4,-1,0.5,1011,1.3,68.74
2017,1,3,20,30,54,385,885,63.51,-6.4,-0.30000000000000004,0.5,1010,1.3,68.02
2017,1,3,21,30,53,346,859,66.46000000000001,-5.9,-0.4,0.5,1010,1.2000000000000002,70.01
2017,1,3,22,30,47,259,793,69.64,-5.800000000000001,-1,0.5,1010,1.2000000000000002,74.47
