Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Relative Humidity,Dew Point,Temperature,Precipitation,Pressure,Wind Speed,Solar Zenith Angle
2019,1,1,0,30,9,11,137,89.57000000000001,-0.1,1.4000000000000001,0.9,1019,0.5,89.18
2019,1,1,1,30,0,0,0,89.19,-1.1,0.5,0.9,1019,0.5,98.85000000000001
2019,1,1,2,30,0,0,0,89.55,-1.6,-0.1,0.9,1019,0.4,108.82000000000001
2019,1,1,3,30,0,0,0,88.46000000000001,-2.2,-0.5,1,1019,0.4,119.23
2019,1,1,4,30,0,0,0,86.64,-2.7,-0.7000000000000001,1,1019,0.4,129.76
2019,1,1,5,30,0,0,0,84.87,-3.1,-0.9,1.1,1018,0.4,140.03
2019,1,1,6,30,0,0,0,82.82000000000001,-3.6,-1,1.1,1018,0.4,149.3
2019,1,1,7,30,0,0,0,81.93,-3.8000000000000003,-1.1,1.2000000000000002,1018,0.4,156.02
2019,1,1,8,30,0,0,0,82.17,-3.9000000000000004,-1.2000000000000002,1.2000000000000002,1018,0.4,157.54
2019,1,1,9,30,0,0,0,82.47,-3.9000000000000004,-1.3,1.3,1019,0.4,152.95000000000002
2019,1,1,10,30,0,0,0,83,-3.9000000000000004,-1.4000000000000001,1.3,1019,0.4,144.62
2019,1,1,11,30,0,0,0,83.26,-3.9000000000000004,-1.4000000000000001,1.3,1018,0.4,134.7
2019,1,1,12,30,0,0,0,82.66,-3.9000000000000004,-1.3,1.3,1018,0.4,124.23
2019,1,1,13,30,0,0,0,78.29,-4,-0.7000000000000001,1.2000000000000002,1018,0.5,113.71000000000001
2019,1,1,14,30,0,0,0,75.23,-4,-0.1,1.2000000000000002,1019,0.6000000000000001,103.49000000000001
2019,1,1,15,30,0,0,0,72.15,-4.2,0.2,1.1,1019,0.6000000000000001,93.87
2019,1,1,16,30,26,47,237,72.05,-3,1.5,1.1,1019,0.4,85
2019,1,1,17,30,44,187,674,65.22,-2.4000000000000004,3.5,1.1,1019,0.30000000000000004,77.73
2019,1,1,18,30,51,293,791,55.46,-3.3000000000000003,4.9,1.1,1019,0.2,72.2
2019,1,1,19,30,55,355,834,52.14,-3.2,5.9,1.1,1018,0.1,68.92
2019,1,1,20,30,56,366,837,51.49,-2.9000000000000004,6.4,1.2000000000000002,1018,0.1,68.26
2019,1,1,21,30,67,309,718,52.95,-2.5,6.4,1.2000000000000002,1017,0.1,70.29
2019,1,1,22,30,76,194,451,62.31,-0.9,5.800000000000001,1.3,1017,0.1,74.79
2019,1,1,23,30,40,115,494,60.54,-1.6,5.4,1.3,1017,0.2,81.29
2019,1,2,0,30,7,7,0,58.01,-3.7,3.8000000000000003,1.3,1017,0.5,89.07000000000001
2019,1,2,1,30,0,0,0,60.52,-4.1000000000000005,2.8000000000000003,1.2000000000000002,1016,0.7000000000000001,98.71000000000001
2019,1,2,2,30,0,0,0,64.36,-4,2,1.2000000000000002,1016,0.9,108.68
2019,1,2,3,30,0,0,0,65.9,-4,1.7000000000000002,1.2000000000000002,1016,0.9,119.09
2019,1,2,4,30,0,0,0,63.83,-4.1000000000000005,2,1.2000000000000002,1015,0.9,129.63
2019,1,2,5,30,0,0,0,63.13,-4.3,2,1.2000000000000002,1015,0.9,139.89000000000001
2019,1,2,6,30,0,0,0,64.84,-4.3,1.6,1.3,1014,0.9,149.17000000000002
2019,1,2,7,30,0,0,0,66.24,-4.2,1.4000000000000001,1.3,1014,0.9,155.9
2019,1,2,8,30,0,0,0,65.19,-4.2,1.6,1.3,1014,0.9,157.47
2019,1,2,9,30,0,0,0,65.18,-4.2,1.6,1.3,1014,0.9,152.93
2019,1,2,10,30,0,0,0,67.71000000000001,-4.1000000000000005,1.2000000000000002,1.3,1014,0.9,144.63
2019,1,2,11,30,0,0,0,71.54,-4,0.6000000000000001,1.3,1014,0.8,134.73
2019,1,2,12,30,0,0,0,74.99,-3.8000000000000003,0.1,1.2000000000000002,1013,0.7000000000000001,124.26
2019,1,2,13,30,0,0,0,76.95,-3.6,0,1.2000000000000002,1013,0.5,113.74000000000001
2019,1,2,14,30,0,0,0,76.63,-3.1,0.5,1.3,1013,0.4,103.51
2019,1,2,15,30,0,0,0,76.91,-2.4000000000000004,1.2000000000000002,1.3,1013,0.4,93.87
2019,1,2,16,30,26,50,281,71.8,-1.6,3,1.3,1013,0.4,85
2019,1,2,17,30,45,182,645,68.16,-0.4,5,1.3,1013,0.4,77.71000000000001
2019,1,2,18,30,53,288,766,67,0.5,6.2,1.4000000000000001,1012,0.5,72.15
2019,1,2,19,30,101,291,527,69.3,1.7000000000000002,6.9,1.5,1012,0.5,68.85000000000001
2019,1,2,20,30,126,255,348,70.51,2.3000000000000003,7.300000000000001,1.6,1011,0.6000000000000001,68.17
2019,1,2,21,30,119,238,351,71.79,2.7,7.5,1.6,1010,0.6000000000000001,70.18
2019,1,2,22,30,94,116,82,78.78,3.3000000000000003,6.7,1.6,1010,0.5,74.66
2019,1,2,23,30,37,64,176,83.71000000000001,3.3000000000000003,5.800000000000001,1.6,1010,0.4,81.16
2019,1,3,0,30,5,5,0,88.98,1.8,3.4000000000000004,1.7000000000000002,1010,0.5,88.95
2019,1,3,1,30,0,0,0,87.26,1.6,3.5,1.7000000000000002,1010,0.4,98.57000000000001
2019,1,3,2,30,0,0,0,85.91,1.6,3.7,1.7000000000000002,1010,0.4,108.54
2019,1,3,3,30,0,0,0,86.08,1.7000000000000002,3.8000000000000003,1.7000000000000002,1010,0.4,118.95
2019,1,3,4,30,0,0,0,85.63,1.8,4,1.8,1009,0.5,129.49
2019,1,3,5,30,0,0,0,85.14,2,4.3,1.9000000000000001,1009,0.5,139.75
2019,1,3,6,30,0,0,0,84.72,2.2,4.6000000000000005,2,1009,0.5,149.03
2019,1,3,7,30,0,0,0,84.51,2.3000000000000003,4.7,2.2,1008,0.5,155.78
2019,1,3,8,30,0,0,0,82.82000000000001,2.1,4.800000000000001,2.3000000000000003,1008,0.6000000000000001,157.39000000000001
2019,1,3,9,30,0,0,0,80.24,1.8,4.9,2.4000000000000004,1007,0.7000000000000001,152.91
2019,1,3,10,30,0,0,0,76.92,1.7000000000000002,5.4,2.5,1007,0.8,144.64000000000001
2019,1,3,11,30,0,0,0,75.72,1.9000000000000001,5.9,2.6,1006,0.8,134.74
2019,1,3,12,30,0,0,0,77.98,2.5,6.1000000000000005,2.6,1005,0.9,124.28
2019,1,3,13,30,0,0,0,80.38,3.1,6.2,2.6,1005,0.9,113.76
2019,1,3,14,30,0,0,0,83.08,3.6,6.300000000000001,2.5,1005,1,103.52
2019,1,3,15,30,0,0,0,84.66,4.1000000000000005,6.5,2.4000000000000004,1005,1,93.87
2019,1,3,16,30,8,8,0,84.21000000000001,4.4,6.9,2.2,1005,1.1,84.99
2019,1,3,17,30,35,35,0,83.96000000000001,4.7,7.2,2,1005,1.1,77.68
2019,1,3,18,30,53,53,1,83.53,4.800000000000001,7.4,1.9000000000000001,1005,1.1,72.10000000000001
2019,1,3,19,30,109,117,21,82.58,4.7,7.5,1.7000000000000002,1005,1.1,68.77
2019,1,3,20,30,59,60,2,80.35000000000001,4.4,7.6000000000000005,1.6,1004,1.1,68.07000000000001
2019,1,3,21,30,78,82,11,77.64,4.3,8,1.6,1003,1.1,70.06
2019,1,3,22,30,70,73,13,77.7,4.5,8.200000000000001,1.6,1003,1,74.53
2019,1,3,23,30,39,39,1,78.85000000000001,4.6000000000000005,8.1,1.6,1002,0.9,81.02
2019,1,4,0,30,4,4,0,79.3,4.5,7.9,1.6,1001,0.9,88.83
2019,1,4,1,30,0,0,0,77.91,4.3,7.9,1.6,1001,0.9,98.43
2019,1,4,2,30,0,0,0,76.36,4,7.9,1.6,1001,1,108.4
2019,1,4,3,30,0,0,0,75.02,3.7,7.9,1.8,1000,1.1,118.8
2019,1,4,4,30,0,0,0,74.49,3.6,7.9,1.9000000000000001,1000,1.2000000000000002,129.34
2019,1,4,5,30,0,0,0,73.24,3.7,8.200000000000001,2,999,1.4000000000000001,139.61
2019,1,4,6,30,0,0,0,74.68,4.1000000000000005,8.3,2.1,999,1.4000000000000001,148.88
2019,1,4,7,30,0,0,0,79.25,4.800000000000001,8.200000000000001,2.1,999,1.3,155.65
2019,1,4,8,30,0,0,0,85.35000000000001,5.7,8,2.1,1000,1.2000000000000002,157.31
2019,1,4,9,30,0,0,0,88.54,6.1000000000000005,7.9,1.9000000000000001,1000,1.2000000000000002,152.87
2019,1,4,10,30,0,0,0,90.33,6.300000000000001,7.800000000000001,1.7000000000000002,1001,1.1,144.63
2019,1,4,11,30,0,0,0,90.86,6.4,7.800000000000001,1.6,1000,1,134.76
2019,1,4,12,30,0,0,0,91.35000000000001,6.4,7.7,1.5,1000,0.9,124.29
2019,1,4,13,30,0,0,0,91.57000000000001,6.4,7.7,1.4000000000000001,1000,0.8,113.77
2019,1,4,14,30,0,0,0,92.11,6.5,7.7,1.4000000000000001,1001,0.7000000000000001,103.53
2019,1,4,15,30,0,0,0,91.27,6.5,7.800000000000001,1.3,1001,0.7000000000000001,93.87
2019,1,4,16,30,20,20,0,90.83,6.6000000000000005,8,1.3,1001,0.7000000000000001,84.97
2019,1,4,17,30,38,38,0,90.3,6.9,8.4,1.3,1002,0.8,77.64
2019,1,4,18,30,66,67,3,90.44,7.2,8.700000000000001,1.4000000000000001,1002,0.9,72.03
2019,1,4,19,30,79,81,5,91.07000000000001,7.4,8.8,1.4000000000000001,1001,0.9,68.68
2019,1,4,20,30,80,84,10,91.28,7.5,8.8,1.4000000000000001,1001,0.8,67.96000000000001
2019,1,4,21,30,46,46,1,91.33,7.4,8.700000000000001,1.5,1000,0.7000000000000001,69.94
2019,1,4,22,30,47,47,0,91.66,7.2,8.5,1.6,1000,0.7000000000000001,74.4
2019,1,4,23,30,27,27,0,90.98,6.9,8.3,1.7000000000000002,1000,0.6000000000000001,80.88
2019,1,5,0,30,4,4,0,91.99,6.5,7.7,1.9000000000000001,1000,0.5,88.7
2019,1,5,1,30,0,0,0,91.5,6.1000000000000005,7.4,1.9000000000000001,999,0.4,98.28
2019,1,5,2,30,0,0,0,92.18,5.7,6.9,1.9000000000000001,999,0.4,108.25
2019,1,5,3,30,0,0,0,92.08,5.1000000000000005,6.300000000000001,1.7000000000000002,998,0.30000000000000004,118.66
2019,1,5,4,30,0,0,0,90.08,4.6000000000000005,6.1000000000000005,1.5,998,0.4,129.19
2019,1,5,5,30,0,0,0,87.61,4.3,6.2,1.4000000000000001,997,0.4,139.46
2019,1,5,6,30,0,0,0,87.44,4.3,6.2,1.3,996,0.4,148.73
2019,1,5,7,30,0,0,0,88.24,3.9000000000000004,5.7,1.2000000000000002,996,0.4,155.51
2019,1,5,8,30,0,0,0,89.55,3.2,4.800000000000001,1.2000000000000002,996,0.4,157.21
2019,1,5,9,30,0,0,0,89.86,2.7,4.2,1.2000000000000002,995,0.4,152.83
2019,1,5,10,30,0,0,0,89.36,2.2,3.8000000000000003,1.2000000000000002,995,0.4,144.62
2019,1,5,11,30,0,0,0,87.37,1.8,3.7,1.1,994,0.4,134.76
2019,1,5,12,30,0,0,0,85.96000000000001,1.6,3.7,1.1,993,0.4,124.3
2019,1,5,13,30,0,0,0,86.41,1.6,3.7,1.1,992,0.4,113.78
2019,1,5,14,30,0,0,0,87.93,1.6,3.4000000000000004,1.1,991,0.4,103.53
2019,1,5,15,30,0,0,0,85.64,1.4000000000000001,3.6,1.1,990,0.4,93.86
2019,1,5,16,30,23,23,0,81.5,1.9000000000000001,4.800000000000001,1.2000000000000002,990,0.5,84.94
2019,1,5,17,30,63,70,31,78.7,3.2,6.6000000000000005,1.4000000000000001,989,0.5,77.59
2019,1,5,18,30,67,68,4,76.74,4.4,8.200000000000001,1.5,988,0.5,71.96000000000001
2019,1,5,19,30,42,42,0,80.51,5.6000000000000005,8.8,1.6,987,0.30000000000000004,68.59
2019,1,5,20,30,118,130,31,86.35000000000001,6.4,8.6,1.7000000000000002,986,0.30000000000000004,67.84
2019,1,5,21,30,40,40,0,86.53,6.300000000000001,8.4,1.7000000000000002,985,0.30000000000000004,69.81
2019,1,5,22,30,13,13,0,88.19,6.4,8.200000000000001,1.6,983,0.4,74.25
2019,1,5,23,30,44,80,226,88.22,6.2,8,1.6,983,0.5,80.73
2019,1,6,0,30,4,4,0,89.14,5.300000000000001,7,1.5,981,0.6000000000000001,88.57000000000001
2019,1,6,1,30,0,0,0,87.15,5,7,1.6,980,0.7000000000000001,98.13
2019,1,6,2,30,0,0,0,87.48,5,6.9,1.7000000000000002,979,0.7000000000000001,108.09
2019,1,6,3,30,0,0,0,85.89,4.9,7.1000000000000005,1.7000000000000002,978,0.9,118.5
2019,1,6,4,30,0,0,0,86.22,5.300000000000001,7.5,1.7000000000000002,979,1.3,129.04
