Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Relative Humidity,Dew Point,Temperature,Precipitation,Pressure,Wind Speed,Solar Zenith Angle
2018,1,1,0,30,0,0,0,82.06,2.4000000000000004,5.2,0.8,1009,0.5,89.16
2018,1,1,1,30,0,0,0,82.52,1.7000000000000002,4.4,0.7000000000000001,1009,0.4,98.81
2018,1,1,2,30,0,0,0,83.33,1,3.6,0.7000000000000001,1010,0.4,108.78
2018,1,1,3,30,0,0,0,84.36,0.4,2.8000000000000003,0.8,1010,0.4,119.18
2018,1,1,4,30,0,0,0,84.15,-0.1,2.3000000000000003,0.8,1011,0.4,129.72
2018,1,1,5,30,0,0,0,83.64,-0.6000000000000001,1.9000000000000001,0.8,1012,0.4,139.98
2018,1,1,6,30,0,0,0,81.78,-1,1.8,0.8,1012,0.4,149.25
2018,1,1,7,30,0,0,0,81.18,-1.3,1.6,0.9,1013,0.4,155.97
2018,1,1,8,30,0,0,0,81.98,-1.3,1.4000000000000001,1,1013,0.4,157.52
2018,1,1,9,30,0,0,0,82.22,-1.2000000000000002,1.5,1.1,1014,0.4,152.95000000000002
2018,1,1,10,30,0,0,0,81.69,-1.1,1.7000000000000002,1.2000000000000002,1014,0.4,144.63
2018,1,1,11,30,0,0,0,81.01,-0.9,2,1.2000000000000002,1014,0.4,134.72
2018,1,1,12,30,0,0,0,81.17,-0.7000000000000001,2.2,1.2000000000000002,1014,0.4,124.25
2018,1,1,13,30,0,0,0,82.98,-0.5,2.1,1.2000000000000002,1015,0.4,113.73
2018,1,1,14,30,0,0,0,84.14,-0.5,1.9000000000000001,1.2000000000000002,1015,0.4,103.51
2018,1,1,15,30,0,0,0,83.16,-0.6000000000000001,2,1.2000000000000002,1015,0.5,93.88
2018,1,1,16,30,25,62,422,78.72,-0.1,3.2,1.1,1016,0.6000000000000001,85.01
2018,1,1,17,30,45,187,669,74.76,1,5.1000000000000005,1.1,1016,0.6000000000000001,77.74
2018,1,1,18,30,53,291,777,70.45,2.2,7.2,1.1,1016,0.6000000000000001,72.2
2018,1,1,19,30,58,354,823,69.82000000000001,3.8000000000000003,9,1.1,1016,0.6000000000000001,68.92
2018,1,1,20,30,58,367,835,69.21000000000001,4.800000000000001,10.200000000000001,1.1,1016,0.6000000000000001,68.25
2018,1,1,21,30,55,328,809,70.65,5.300000000000001,10.4,1.1,1016,0.6000000000000001,70.27
2018,1,1,22,30,49,243,739,78.06,5.800000000000001,9.4,1.1,1016,0.5,74.76
2018,1,1,23,30,55,81,172,83.31,5.800000000000001,8.5,1.1,1016,0.5,81.26
2018,1,2,0,30,0,0,0,91.93,3.9000000000000004,5.1000000000000005,1,1016,0.5,89.04
2018,1,2,1,30,0,0,0,88.84,2.5,4.2,1,1016,0.5,98.67
2018,1,2,2,30,0,0,0,86.79,1.4000000000000001,3.4000000000000004,1,1017,0.6000000000000001,108.64
