Training Error
MSE: 25334.25326861683
RMSE: 159.16737501327597
NRMSE: 0.5424568272926634
MAE: 123.23227932524715
MBE: -24.40157967562915
sMAPE: 0.5426155831913663
R^2: -0.795211911201477

Testing Error
MSE: 24281.069896375528
RMSE: 155.8238425157573
NRMSE: 0.5214841780861476
MAE: 119.36061030968334
MBE: -29.822285429071453
sMAPE: 0.49537575173940435
R^2: -0.8753402233123779
