Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitation,Pressure,Wind Speed,Dew Point
2019,1,1,0,30,2.5,1,1,0,67.01,91.18,1,1022,1,-3
2019,1,1,1,30,1.8,0,0,0,69.81,100.04,1.1,1022,1,-3.1
2019,1,1,2,30,1.4000000000000001,0,0,0,72.65,109.63,1.1,1022,0.9,-3
2019,1,1,3,30,1.1,0,0,0,74.51,119.63,1.2000000000000002,1021,0.9,-2.9000000000000004
2019,1,1,4,30,0.8,0,0,0,76.14,129.7,1.3,1021,0.9,-2.9000000000000004
2019,1,1,5,30,0.6000000000000001,0,0,0,77.77,139.41,1.3,1021,1,-2.8000000000000003
2019,1,1,6,30,0.5,0,0,0,79.21000000000001,147.99,1.3,1021,1,-2.7
2019,1,1,7,30,0.4,0,0,0,80.74,153.95000000000002,1.4000000000000001,1021,1,-2.5
2019,1,1,8,30,0.5,0,0,0,81.36,155.15,1.4000000000000001,1021,1,-2.3000000000000003
2019,1,1,9,30,0.5,0,0,0,82.65,150.96,1.4000000000000001,1021,0.9,-2.1
2019,1,1,10,30,0.2,0,0,0,85.75,143.25,1.4000000000000001,1020,0.9,-1.9000000000000001
2019,1,1,11,30,0.1,0,0,0,87.28,133.89000000000001,1.3,1020,0.8,-1.8
2019,1,1,12,30,-0.1,0,0,0,88.84,123.9,1.3,1020,0.8,-1.7000000000000002
2019,1,1,13,30,-0.4,0,0,0,89.66,113.83,1.3,1020,0.9,-1.9000000000000001
2019,1,1,14,30,-0.5,0,0,0,90.03,104.02,1.3,1020,0.8,-1.9000000000000001
2019,1,1,15,30,0,0,0,0,87.18,94.8,1.4000000000000001,1020,0.7000000000000001,-1.9000000000000001
2019,1,1,16,30,1.4000000000000001,9,9,0,82.24,86.29,1.5,1020,0.6000000000000001,-1.3
2019,1,1,17,30,3.2,41,41,0,79.67,79.44,1.6,1020,0.5,0
2019,1,1,18,30,4.9,89,166,282,75.79,74.24,1.6,1020,0.4,1
2019,1,1,19,30,6.4,124,201,238,71.96000000000001,71.2,1.6,1020,0.2,1.7000000000000002
2019,1,1,20,30,7,84,274,573,74.31,70.65,1.7000000000000002,1019,0.1,2.7
2019,1,1,21,30,6.7,109,197,294,71.24,72.63,1.7000000000000002,1019,0.2,1.9000000000000001
2019,1,1,22,30,5.9,85,126,180,78.14,76.93,1.6,1019,0.4,2.4000000000000004
2019,1,1,23,30,5.2,43,49,54,75.41,83.15,1.6,1019,0.6000000000000001,1.2000000000000002
2019,1,2,0,30,4.1000000000000005,2,2,14,72.83,91.05,1.6,1018,0.7000000000000001,-0.30000000000000004
